Partner Data Point File,,,
Start of Test Wed 27 Sep 2017 16:59:51,,,
Time ( min ),Shear Strain ( deg ),Angle ( deg ),Torque ( in·lb )
1.44167,0.1115,2.8772,308.86
1.44333,0.11154,2.8856,309
1.445,0.11179,2.8912,309.66
1.44667,0.11196,2.8912,310.12
1.44833,0.11204,2.8912,310.34
1.45,0.11207,2.894,310.46
1.45167,0.11222,2.908,310.86
1.45333,0.11247,2.908,311.45
1.455,0.11256,2.908,311.66
1.45667,0.1126,2.908,311.75
1.45833,0.11262,2.908,311.8
1.46,0.11268,2.9248,311.95
1.46167,0.11301,2.9248,312.86
1.46333,0.11317,2.9248,313.31
1.465,0.11324,2.9248,313.52
1.46667,0.11328,2.9248,313.65
1.46833,0.11347,2.9388,314.16
1.47,0.11369,2.9388,314.76
1.47167,0.11378,2.9388,315.02
1.47333,0.11383,2.9416,315.17
1.475,0.11399,2.9528,315.6
1.47667,0.11418,2.9528,316.15
1.47833,0.11427,2.9528,316.38
1.48,0.1143,2.9528,316.51
1.48167,0.1144,2.9669,316.79
1.48333,0.11463,2.9669,317.42
1.485,0.11473,2.9669,317.7
1.48667,0.11477,2.9669,317.83
1.48833,0.11483,2.9809,318
1.49,0.1151,2.9809,318.73
1.49167,0.11522,2.9809,319.08
1.49333,0.11528,2.9809,319.25
1.495,0.11531,2.9921,319.37
1.49667,0.11556,2.9949,320.03
1.49833,0.11571,2.9949,320.44
1.5,0.11578,2.9949,320.62
1.50167,0.11581,2.9977,320.71
1.50333,0.11602,3.0089,321.25
1.505,0.11621,3.0089,321.75
1.50667,0.11631,3.0089,321.98
1.50833,0.11637,3.0089,322.11
1.51,0.11655,3.0229,322.59
1.51167,0.11674,3.0229,323.11
1.51333,0.11681,3.0229,323.34
1.515,0.11685,3.0229,323.45
1.51667,0.11692,3.0369,323.63
1.51833,0.11718,3.0369,324.37
1.52,0.1173,3.0369,324.72
1.52167,0.11736,3.0369,324.89
1.52333,0.11745,3.0509,325.13
1.525,0.11769,3.0509,325.79
1.52667,0.1178,3.0509,326.08
1.52833,0.11784,3.0509,326.21
1.53,0.11787,3.0537,326.3
1.53167,0.11809,3.0649,326.88
1.53333,0.1183,3.0649,327.41
1.535,0.1184,3.0649,327.67
1.53667,0.11846,3.0677,327.82
1.53833,0.11865,3.0789,328.35
1.54,0.11882,3.0789,328.82
1.54167,0.11889,3.0789,329.01
1.54333,0.11893,3.0789,329.12
1.545,0.11905,3.0929,329.49
1.54667,0.11927,3.0929,330.08
1.54833,0.11936,3.0929,330.33
1.55,0.1194,3.0929,330.46
1.55167,0.11951,3.1069,330.74
1.55333,0.11974,3.1069,331.41
1.555,0.11984,3.1069,331.7
1.55667,0.11988,3.1069,331.83
1.55833,0.11994,3.1209,331.97
1.56,0.12019,3.1209,332.68
1.56167,0.12031,3.1209,333.04
1.56333,0.12038,3.1209,333.21
1.565,0.12042,3.1293,333.33
1.56667,0.12065,3.1349,333.97
1.56833,0.1208,3.1349,334.38
1.57,0.12086,3.1349,334.56
1.57167,0.12089,3.1349,334.66
1.57333,0.1211,3.1489,335.22
1.575,0.12128,3.1489,335.72
1.57667,0.12137,3.1489,335.93
1.57833,0.12142,3.1489,336.04
1.58,0.12158,3.163,336.44
1.58167,0.12183,3.163,337.07
1.58333,0.12192,3.163,337.35
1.585,0.12197,3.163,337.48
1.58667,0.12209,3.177,337.77
1.58833,0.12231,3.177,338.4
1.59,0.1224,3.177,338.66
1.59167,0.12244,3.177,338.78
1.59333,0.12248,3.191,338.91
1.595,0.12275,3.191,339.64
1.59667,0.12288,3.191,340.02
1.59833,0.12294,3.191,340.21
1.6,0.12298,3.2022,340.34
1.60167,0.12323,3.205,341.01
1.60333,0.12337,3.205,341.39
1.605,0.12342,3.205,341.56
1.60667,0.12346,3.205,341.65
1.60833,0.12365,3.219,342.18
1.61,0.12385,3.219,342.73
1.61167,0.12394,3.219,342.97
1.61333,0.12398,3.219,343.11
1.615,0.12415,3.233,343.56
1.61667,0.12433,3.233,344.07
1.61833,0.1244,3.233,344.29
1.62,0.12444,3.233,344.4
1.62167,0.1245,3.247,344.56
1.62333,0.12478,3.247,345.33
1.625,0.12493,3.247,345.71
1.62667,0.12499,3.247,345.9
1.62833,0.12505,3.261,346.04
1.63,0.12529,3.261,346.71
1.63167,0.12541,3.261,347.05
1.63333,0.12547,3.261,347.21
1.635,0.12552,3.2722,347.31
1.63667,0.12578,3.275,347.96
1.63833,0.12592,3.275,348.37
1.64,0.12599,3.275,348.55
1.64167,0.12603,3.275,348.65
1.64333,0.12621,3.289,349.14
1.645,0.12641,3.289,349.7
1.64667,0.12651,3.289,349.95
1.64833,0.12655,3.2918,350.08
1.65,0.12668,3.303,350.42
1.65167,0.12689,3.303,351.01
1.65333,0.12698,3.303,351.28
1.655,0.12703,3.303,351.4
1.65667,0.12713,3.317,351.63
1.65833,0.12738,3.317,352.29
1.66,0.12748,3.317,352.58
1.66167,0.12753,3.317,352.72
1.66333,0.12757,3.3311,352.83
1.665,0.12781,3.3311,353.54
1.66667,0.12795,3.3311,353.94
1.66833,0.12801,3.3311,354.12
1.67,0.12805,3.3395,354.23
1.67167,0.12827,3.3451,354.84
1.67333,0.12843,3.3451,355.26
1.675,0.1285,3.3451,355.46
1.67667,0.12853,3.3451,355.55
1.67833,0.12871,3.3591,356.05
1.68,0.12891,3.3591,356.59
1.68167,0.12899,3.3591,356.83
1.68333,0.12903,3.3591,356.95
1.685,0.12916,3.3731,357.33
1.68667,0.12939,3.3731,357.93
1.68833,0.12947,3.3731,358.19
1.69,0.12952,3.3731,358.31
1.69167,0.12961,3.3871,358.53
1.69333,0.12985,3.3871,359.2
1.695,0.12996,3.3871,359.5
1.69667,0.13001,3.3871,359.63
1.69833,0.13006,3.4011,359.76
1.7,0.13033,3.4011,360.47
1.70167,0.13047,3.4011,360.85
1.70333,0.13054,3.4011,361.02
1.705,0.13058,3.4095,361.13
1.70667,0.13081,3.4151,361.76
1.70833,0.13096,3.4151,362.18
1.71,0.13102,3.4151,362.36
1.71167,0.13105,3.4151,362.46
1.71333,0.13123,3.4291,362.95
1.715,0.13142,3.4291,363.5
1.71667,0.13151,3.4291,363.74
1.71833,0.13155,3.4291,363.86
1.72,0.1317,3.4431,364.26
1.72167,0.13191,3.4431,364.84
1.72333,0.132,3.4431,365.08
1.725,0.13203,3.4431,365.19
1.72667,0.13211,3.4571,365.38
1.72833,0.13237,3.4571,366.13
1.73,0.13249,3.4571,366.47
1.73167,0.13254,3.4571,366.63
1.73333,0.13259,3.4711,366.77
1.735,0.13283,3.4711,367.45
1.73667,0.13297,3.4711,367.83
1.73833,0.13304,3.4711,368
1.74,0.13308,3.4767,368.1
1.74167,0.13331,3.4851,368.7
1.74333,0.13348,3.4851,369.16
1.745,0.13357,3.4851,369.36
1.74667,0.13361,3.4879,369.47
1.74833,0.13378,3.4991,369.93
1.75,0.13398,3.4991,370.47
1.75167,0.13405,3.4991,370.71
1.75333,0.13409,3.5019,370.83
1.755,0.13421,3.5132,371.14
1.75667,0.13444,3.5132,371.79
1.75833,0.13454,3.5132,372.07
1.76,0.13458,3.5132,372.21
1.76167,0.13465,3.5272,372.4
1.76333,0.1349,3.5272,373.07
1.765,0.13502,3.5272,373.39
1.76667,0.13506,3.5272,373.54
1.76833,0.1351,3.5384,373.64
1.77,0.13535,3.5412,374.34
1.77167,0.13549,3.5412,374.73
1.77333,0.13555,3.5412,374.91
1.775,0.1356,3.544,375.03
1.77667,0.1358,3.5552,375.59
1.77833,0.13595,3.5552,376.02
1.78,0.13603,3.5552,376.21
1.78167,0.13606,3.5552,376.31
1.78333,0.13625,3.5692,376.82
1.785,0.13644,3.5692,377.35
1.78667,0.13653,3.5692,377.59
1.78833,0.13657,3.5692,377.71
1.79,0.1367,3.5832,378.07
1.79167,0.13691,3.5832,378.66
1.79333,0.13701,3.5832,378.92
1.795,0.13705,3.5832,379.04
1.79667,0.13712,3.5972,379.22
1.79833,0.13738,3.5972,379.93
1.8,0.13749,3.5972,380.26
1.80167,0.13754,3.5972,380.4
1.80333,0.13758,3.6112,380.53
1.805,0.13784,3.6112,381.22
1.80667,0.13796,3.6112,381.58
1.80833,0.13802,3.6112,381.74
1.81,0.13806,3.614,381.84
1.81167,0.13828,3.6252,382.43
1.81333,0.13847,3.6252,382.89
1.815,0.13857,3.6252,383.1
1.81667,0.1386,3.6252,383.21
1.81833,0.1388,3.6392,383.71
1.82,0.13899,3.6392,384.23
1.82167,0.13907,3.6392,384.45
1.82333,0.13911,3.6392,384.57
1.825,0.13925,3.6532,384.95
1.82667,0.13946,3.6532,385.56
1.82833,0.13954,3.6532,385.81
1.83,0.13958,3.6532,385.93
1.83167,0.13963,3.6672,386.07
1.83333,0.13989,3.6672,386.78
1.835,0.14001,3.6672,387.13
1.83667,0.14008,3.6672,387.29
1.83833,0.14014,3.6812,387.45
1.84,0.1404,3.6812,388.14
1.84167,0.14053,3.6812,388.46
1.84333,0.14058,3.6812,388.6
1.845,0.14062,3.6812,388.69
1.84667,0.14081,3.6953,389.23
1.84833,0.14101,3.6953,389.76
1.85,0.14108,3.6953,390
1.85167,0.14112,3.6981,390.13
1.85333,0.14128,3.7093,390.56
1.855,0.14146,3.7093,391.09
1.85667,0.14154,3.7093,391.3
1.85833,0.14159,3.7093,391.41
1.86,0.14171,3.7233,391.76
1.86167,0.14192,3.7233,392.35
1.86333,0.142,3.7233,392.59
1.865,0.14204,3.7233,392.7
1.86667,0.14209,3.7373,392.84
1.86833,0.14236,3.7373,393.58
1.87,0.14249,3.7373,393.94
1.87167,0.14255,3.7373,394.12
1.87333,0.14261,3.7513,394.29
1.875,0.14286,3.7513,394.94
1.87667,0.14297,3.7513,395.25
1.87833,0.14302,3.7513,395.37
1.88,0.14305,3.7513,395.45
1.88167,0.14324,3.7653,395.95
1.88333,0.14344,3.7653,396.55
1.885,0.14353,3.7653,396.81
1.88667,0.14359,3.7681,396.95
1.88833,0.14378,3.7793,397.45
1.89,0.14393,3.7793,397.89
1.89167,0.14399,3.7793,398.07
1.89333,0.14402,3.7793,398.14
1.895,0.14409,3.7933,398.34
1.89667,0.14436,3.7933,399.07
1.89833,0.14447,3.7933,399.41
1.9,0.14453,3.7933,399.57
1.90167,0.14464,3.8073,399.85
1.90333,0.14486,3.8073,400.46
